,Player,Pick,Position,ID,Draft Year,Projected SPM,Superstar,Starter,Role Player,Bust
492,Robert Dozier,60,SF,robert-dozier,2009,-1.079879714,0.0,0.07240637,0.384859865,0.542733765
493,Dexter Pittman,32,C,dexter-pittman,2010,-1.027578855,0.0,0.071618117,0.401849844,0.526532039
494,Jarvis Varnado,41,PF,jarvis-varnado,2010,-1.059659795,0.0,0.054341315999999994,0.41635543700000005,0.529303247
495,Arnett Moultrie,27,PF,arnett-moultrie,2012,-0.836069017,0.001951945,0.14241347,0.347440917,0.508193668
496,P.J. Hairston,26,SG,pj-hairston,2014,-0.571128526,0.004645311,0.17656629399999998,0.402214391,0.416574004
497,Semaj Christon,55,PG,semaj-christon,2014,-1.08062241,0.002745413,0.060859379000000005,0.36570769200000003,0.570687516
498,Justise Winslow,10,SF,justise-winslow,2015,0.875328997,0.083528571,0.510904762,0.176766667,0.2288
499,Josh Richardson,40,SG,2-josh-richardson,2015,-1.1250298220000001,0.00013125299999999998,0.056205838,0.376816007,0.566846902
500,Terence Morris,33,SF,terence-morris,2001,-0.936639346,0.001283867,0.10653782699999999,0.380679494,0.511498812
501,Ray McCallum,36,PG,ray-mccallum,2013,-1.113494711,0.0,0.061821626,0.366471375,0.571707
502,Ben McLemore,7,SG,ben-mclemore,2013,0.32444404,0.0575,0.40483333299999996,0.188116667,0.34955
503,Nik Stauskas,8,SG,nik-stauskas,2014,0.09764512,0.016286567,0.302474659,0.390961236,0.290277537
504,Cleanthony Early,34,SF,cleanthony-early,2014,-0.911636168,0.00019739,0.10647912,0.388504497,0.504818993
505,Romain Sato,52,SG,romain-sato,2004,-1.040968512,0.0,0.052018472,0.435614354,0.512367173
506,George Hill,26,PG,george-hill,2008,-0.66127188,0.0015293820000000001,0.160321914,0.426091244,0.41205746
507,James Gist,57,PF,james-gist,2008,-1.334622166,0.000183631,0.019171784,0.342616683,0.638027902
508,DeJuan Blair,37,PF,dejuan-blair,2009,0.511650527,0.014389321000000002,0.409798393,0.35829966799999996,0.217512617
509,Jack McClinton,51,SG,jack-mcclinton,2009,-1.3680582609999998,0.0,0.024756245,0.318503842,0.656739913
510,James Anderson,20,SG,23-james-anderson,2010,-0.789998292,0.003674515,0.10421689599999999,0.458365841,0.43374274700000004
511,Cory Joseph,29,PG,cory-joseph,2011,-0.172781947,0.0205,0.26015,0.3783,0.34105
512,Marcus Denmon,59,SG,marcus-denmon,2012,-0.91208632,0.000738739,0.08560240599999999,0.417502474,0.49615638100000004
513,Deshaun Thomas,58,SF,deshaun-thomas,2013,-0.606352187,0.000469212,0.17426839800000002,0.41977055700000004,0.40549183299999997
514,Kyle Anderson,30,PF,3-kyle-anderson,2014,-0.291038075,0.012674006000000002,0.254152427,0.329701228,0.40347234
515,Jordan McRae,58,SG,jordan-mcrae,2014,-1.084563556,0.000394215,0.052110878,0.415968858,0.531526049
